CONCELHO,LAT,LONG
Abrantes,39.466667,-8.2
Águeda,40.577205,-8.444418
Aguiar da Beira,40.817264,-7.544307
Alandroal,38.702005,-7.403094
Albergaria-a-Velha,40.693185,-8.479936
Albufeira,37.090205,-8.25079
Alcácer do Sal,38.373258,-8.514436
Alcanena,39.459005,-8.668924
Alcobaça,39.552233,-8.977495
Alcochete,38.755335,-8.960861
Alcoutim,37.474317,-7.472282
Alenquer,39.053151,-9.009282
Alfândega da Fé,41.343149,-6.961124
Alijó,41.276781,-7.474883
Aljezur,37.319152,-8.803305
Aljustrel,37.877594,-8.165159
Almada,38.679018,-9.156904
Almeida,40.725672,-6.906137
Almeirim,39.209028,-8.616426
Almodôvar,37.512792,-8.060077
Alpiarça,39.257116,-8.581866
Alter do Chão,39.198712,-7.658298
Alvaiázere,39.822559,-8.379994
Alvito,38.256109,-7.991584
Amadora,38.759711,-9.239708
Amarante,41.272711,-8.082455
Amares,41.630907,-8.351166
Anadia,40.438409,-8.43352
Ansião,39.911774,-8.435683
Arcos de Valdevez,41.848912,-8.410905
Arganil,40.218261,-8.054029
Armamar,41.107646,-7.691386
Arouca,40.930568,-8.24488
Arraiolos,38.723626,-7.984777
Arronches,39.122417,-7.286192
Arruda dos Vinhos,38.984106,-9.077463
Aveiro,40.644269,-8.645535
Avis,39.05391,-7.891556
Azambuja,39.07029,-8.86822
Baião,41.162735,-8.034704
Barcelos,41.538763,-8.615053
Barrancos,38.134462,-6.976042
Barreiro,38.663137,-9.072395
Batalha,39.660252,-8.824751
Beja,38.015064,-7.863227
Belmonte,40.359303,-7.34869
Benavente,38.979192,-8.807591
Bombarral,39.267231,-9.157952
Borba,38.80553,-7.45465
Boticas,41.689874,-7.665938
Braga,41.550323,-8.420052
Bragança,41.805817,-6.757189
Cabeceiras de Basto,41.514312,-7.989415
Cadaval,39.242977,-9.103271
Caldas da Rainha,39.403255,-9.138387
Caminha,41.874874,-8.837321
Campo Maior,39.017742,-7.064967
Cantanhede,40.346708,-8.594195
Carrazeda de Ansiães,41.2422,-7.3062
Carregal do Sal,40.43333,-8
Cartaxo,39.160221,-8.787408
Cascais,38.69745,-9.423141
Castanheira de Pêra,40.007169,-8.210484
Castelo Branco,39.822191,-7.490869
Castelo de Paiva,41.063007,-8.264696
Castelo de Vide,39.414713,-7.454021
Castro Daire,40.898399,-7.933805
Castro Marim,37.220683,-7.4435
Castro Verde,37.698282,-8.085812
Celorico da Beira,40.637232,-7.39037
Celorico de Basto,41.387141,-8.00101
Chamusca,39.35722,-8.48151
Chaves,41.740186,-7.468789
Cinfães,41.071969,-8.089991
Coimbra,40.205642,-8.419551
Condeixa-a-Nova,40.115733,-8.498336
Constância,39.466667,-8.333333
Coruche,38.959546,-8.525235
Covilhã,40.286011,-7.503961
Crato,39.287571,-7.645494
Cuba,38.165436,-7.892402
Elvas,38.881502,-7.162817
Entroncamento,39.466667,-8.466667
Espinho,41.007628,-8.641251
Esposende,41.536098,-8.782011
Estarreja,40.756482,-8.572074
Estremoz,38.844316,-7.585854
Évora,38.566667,-7.9
Fafe,41.454227,-8.167998
Faro,37.019367,-7.932229
Felgueiras,41.368058,-8.193961
Ferreira do Alentejo,38.05,-8.033333
Ferreira do Zêzere,39.694064,-8.292131
Figueira da Foz,40.150852,-8.861786
Figueira de Castelo Rodrigo,40.892619,-6.963502
Figueiró dos Vinhos,39.904132,-8.275107
Fornos de Algodres,40.628072,-7.540638
Freixo de Espada à Cinta,41.090327,-6.806478
Fronteira,39.056291,-7.648679
Fundão,40.140247,-7.501348
Gavião,39.464431,-7.934494
Góis,40.157353,-8.110067
Golegã,39.40474,-8.48625
Gondomar,41.144536,-8.532229
Gouveia,40.494455,-7.592145
Grândola,38.177181,-8.566746
Guarda,40.537328,-7.265749
Guimarães,41.444435,-8.296189
Idanha-a-Nova,39.923157,-7.240819
Ílhavo,40.599896,-8.667325
Lagoa,37.135349,-8.453188
Lagos,37.101782,-8.674242
Lamego,41.097407,-7.809907
Leiria,39.747724,-8.804995
Lisboa,38.716667,-9.133333
Loulé,37.137722,-8.019684
Loures,38.829082,-9.168106
Lourinhã,39.233333,-9.316667
Lousã,40.111911,-8.24703
Lousada,41.278223,-8.279926
Mação,39.555734,-7.994215
Macedo de Cavaleiros,41.538161,-6.9611
Mafra,38.937933,-9.327565
Maia,41.235739,-8.619897
Mangualde,40.604248,-7.76115
Manteigas,40.402799,-7.539769
Marco de Canaveses,41.18389,-8.14864
Marinha Grande,39.747691,-8.932284
Marvão,39.393912,-7.376861
Matosinhos,41.18207,-8.689076
Mealhada,40.378063,-8.449912
Mêda,40.966352,-7.261634
Melgaço,42.113371,-8.260161
